City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Namibe,-15.1961,12.1522,65.41,92,16,4.94,AO,few clouds
80,Srednekolymsk,67.45,153.6833,59.22,55,59,8.19,RU,broken clouds
81,Yeppoon,-23.1333,150.7333,64.18,95,10,7.31,AU,clear sky
82,Chokurdakh,70.6333,147.9167,40.71,70,70,12.75,RU,broken clouds
83,Khatanga,71.9667,102.5,50.81,81,24,6.8,RU,few clouds
84,Sao Joao Da Barra,-21.6403,-41.0511,73.49,66,0,8.88,BR,clear sky
85,Fare,-16.7,-151.0167,77.79,67,10,13.8,PF,clear sky
86,Conceicao Do Araguaia,-8.2578,-49.2647,91.53,33,0,6.91,BR,clear sky
87,Jiuquan,39.7432,98.5174,81.19,32,3,4.25,CN,clear sky
88,Vaini,-21.2,-175.2,75.36,94,40,3.44,TO,scattered clouds
89,Acapulco,16.8634,-99.8901,84.02,79,90,8.05,MX,overcast clouds
90,Hami,42.8,93.45,86.52,42,99,14.56,CN,overcast clouds
91,Airai,-8.9266,125.4092,56.25,35,11,3.31,TL,few clouds
92,Sur,22.5667,59.5289,91.33,58,44,12.91,OM,scattered clouds
93,Port Hedland,-20.3167,118.5667,64.45,42,2,6.91,AU,clear sky
94,College,64.8569,-147.8028,73.2,72,75,0.0,US,light rain
95,Amazar,53.858,120.875,60.48,97,61,2.95,RU,broken clouds
96,Bulaevo,54.9056,70.4439,70.27,55,10,8.57,KZ,clear sky
97,Cape Town,-33.9258,18.4232,51.12,66,0,2.3,ZA,clear sky
98,Faya,18.3851,42.4509,62.71,68,92,0.89,SA,overcast clouds
99,Bengkulu,-3.8004,102.2655,74.89,85,57,3.67,ID,broken clouds
100,Kodiak,57.79,-152.4072,54.91,88,90,12.66,US,moderate rain
101,Skeldon,5.8833,-57.1333,80.04,89,100,4.85,GY,overcast clouds
102,Springbok,-29.6643,17.8865,47.01,21,0,25.72,ZA,clear sky
103,Fukue,32.6881,128.8419,79.63,81,100,10.8,JP,overcast clouds
104,Buala,-8.145,159.5921,81.23,80,85,5.84,SB,light rain
105,Puerto Palomas,31.7667,-107.6167,90.73,24,46,12.97,MX,scattered clouds
106,Manaure,11.7751,-72.4445,91.24,51,97,17.58,CO,overcast clouds
107,Tasiilaq,65.6145,-37.6368,42.96,99,100,3.85,GL,light rain
108,Saldanha,-33.0117,17.9442,44.65,66,0,9.82,ZA,clear sky
109,Honiara,-9.4333,159.95,79.36,81,99,3.42,SB,overcast clouds
110,Dikson,73.5069,80.5464,44.11,71,99,13.18,RU,overcast clouds
111,Vila Franca Do Campo,37.7167,-25.4333,70.21,83,88,6.24,PT,overcast clouds
112,Nome,64.5011,-165.4064,51.17,76,90,14.97,US,overcast clouds
113,Rafaela,-31.2503,-61.4867,73.0,41,3,4.92,AR,clear sky
114,Pangnirtung,66.1451,-65.7125,47.68,75,99,7.65,CA,overcast clouds
